iso3,country_name,continent,income_group,klaster
ABW,Aruba,Americas,High income,2
AFG,Afghanistan,Asia,Low income,0
AGO,Angola,Africa,Lower middle income,0
ALB,Albania,Europe,Upper middle income,2
AND,Andorra,Europe,High income,2
ARE,United Arab Emirates,Asia,High income,1
ARG,Argentina,Americas,Upper middle income,1
ARM,Armenia,Asia,Upper middle income,2
ATG,Antigua and Barbuda,Americas,High income,2
AUS,Australia,Oceania,High income,1
AUT,Austria,Europe,High income,2
AZE,Azerbaijan,Asia,Upper middle income,1
BDI,Burundi,Africa,Low income,0
BEL,Belgium,Europe,High income,2
BEN,Benin,Africa,Lower middle income,0
BFA,Burkina Faso,Africa,Low income,0
BGD,Bangladesh,Asia,Lower middle income,1
BGR,Bulgaria,Europe,High income,2
BHR,Bahrain,Asia,High income,2
BHS,"Bahamas, The",Americas,High income,2
BIH,Bosnia and Herzegovina,Europe,Upper middle income,2
BLR,Belarus,Europe,Upper middle income,1
BLZ,Belize,Americas,Upper middle income,1
BMU,Bermuda,Americas,High income,2
BOL,Bolivia,Americas,Lower middle income,1
BRA,Brazil,Americas,Upper middle income,1
BRB,Barbados,Americas,High income,2
BRN,Brunei Darussalam,Asia,High income,1
BTN,Bhutan,Asia,Lower middle income,1
BWA,Botswana,Africa,Upper middle income,1
CAF,Central African Republic,Africa,Low income,0
CAN,Canada,Americas,High income,1
CHE,Switzerland,Europe,High income,2
CHI,Channel Islands,Europe,High income,2
CHL,Chile,Americas,High income,1
CHN,China,Asia,Upper middle income,1
CIV,Cote d'Ivoire,Africa,Lower middle income,0
CMR,Cameroon,Africa,Lower middle income,0
COD,"Congo, Dem. Rep.",Africa,Low income,0
COG,"Congo, Rep.",Africa,Lower middle income,0
COL,Colombia,Americas,Upper middle income,1
COM,Comoros,Africa,Lower middle income,0
CPV,Cabo Verde,Africa,Upper middle income,2
CRI,Costa Rica,Americas,High income,2
CUB,Cuba,Americas,Upper middle income,2
CUW,Curacao,Americas,High income,2
CYM,Cayman Islands,Americas,High income,2
CYP,Cyprus,Asia,High income,2
CZE,Czechia,Europe,High income,2
DEU,Germany,Europe,High income,2
DJI,Djibouti,Africa,Lower middle income,1
DMA,Dominica,Americas,Upper middle income,2
DNK,Denmark,Europe,High income,2
DOM,Dominican Republic,Americas,Upper middle income,1
DZA,Algeria,Africa,Upper middle income,1
ECU,Ecuador,Americas,Upper middle income,1
EGY,"Egypt, Arab Rep.",Africa,Lower middle income,1
ERI,Eritrea,Africa,Low income,0
ESP,Spain,Europe,High income,2
EST,Estonia,Europe,High income,2
FIN,Finland,Europe,High income,2
FJI,Fiji,Oceania,Upper middle income,1
FRA,France,Europe,High income,2
FRO,Faroe Islands,Europe,High income,2
FSM,"Micronesia, Fed. Sts.",Oceania,Lower middle income,2
GAB,Gabon,Africa,Upper middle income,1
GBR,United Kingdom,Europe,High income,2
GEO,Georgia,Asia,Upper middle income,2
GHA,Ghana,Africa,Lower middle income,0
GIN,Guinea,Africa,Lower middle income,0
GMB,"Gambia, The",Africa,Low income,0
